SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,Cuda_cpu,Cuda_wall,CudaSimd_cpu,CudaSimd_wall,OpenCL_cpu,OpenCL_wall
3.34071e+06,3.34074e+06,861197,861206,7.65601e+06,957634,1.50189e+06,187833,76047,76133,79436,79514,87657,87632
3.34175e+06,3.34176e+06,859170,859175,7.64508e+06,956804,1.49896e+06,187857,76208,76288,79476,79579,87734,87717
3.344e+06,3.344e+06,858311,858309,7.66262e+06,958626,1.50154e+06,187868,75987,76064,79574,79650,87734,87717
3.3427e+06,3.3427e+06,858604,858612,7.75632e+06,971009,1.50011e+06,187731,75973,76044,79552,79638,87965,87953
3.34231e+06,3.34231e+06,858157,858158,7.7832e+06,973469,1.50113e+06,187813,76135,76238,79510,79587,87969,87965
3.343e+06,3.343e+06,858316,858326,7.77636e+06,973186,1.50056e+06,187744,76235,76326,79515,79573,87908,87893
3.34167e+06,3.34168e+06,858197,858198,8.12688e+06,1.01738e+06,1.50119e+06,187811,75988,76066,79452,79525,87946,87921
3.34163e+06,3.34163e+06,858113,858114,8.20634e+06,1.02667e+06,1.50094e+06,187778,76185,76259,79417,79491,87785,87778
3.34159e+06,3.3416e+06,858144,858148,7.58302e+06,948913,1.57513e+06,197280,76074,76160,79484,79570,87897,87880
3.34171e+06,3.34172e+06,858525,858531,7.62436e+06,953618,1.7339e+06,217318,76137,76205,79462,79538,87976,87960
3.34353e+06,3.34355e+06,858864,858865,7.6412e+06,956085,1.72576e+06,215925,75968,76043,79344,79423,88195,88179
3.34175e+06,3.34174e+06,858355,858355,7.64765e+06,956893,1.72424e+06,215708,76086,76161,79514,79588,87565,87549
3.34206e+06,3.34208e+06,858294,858294,7.65016e+06,957441,1.72486e+06,215800,76089,76171,79352,79417,87748,87734
3.3414e+06,3.34141e+06,858766,858769,7.65432e+06,957302,1.49473e+06,186951,76021,76097,79523,79606,87709,87692
3.34142e+06,3.34142e+06,858424,858426,7.65006e+06,957399,1.43229e+06,179105,75951,76026,79366,79440,87672,87658
3.34117e+06,3.34118e+06,858669,858671,7.64832e+06,957009,1.44406e+06,180834,76006,76081,79500,79574,87670,87664
3.34136e+06,3.34137e+06,858433,858437,7.6535e+06,957266,1.44949e+06,181460,75929,76011,79440,79524,88074,88057
3.34122e+06,3.34122e+06,858568,858575,7.70958e+06,964989,1.45682e+06,182041,76113,76202,79560,79634,88006,87984
3.34161e+06,3.34163e+06,858162,858167,7.77052e+06,972298,1.46703e+06,183518,75927,76002,79498,79577,87907,87882
3.34156e+06,3.34156e+06,858835,858836,7.77354e+06,972748,1.45704e+06,182674,76152,76227,79413,79486,87962,87946
3.34146e+06,3.34145e+06,858180,858182,7.764e+06,972068,1.46504e+06,183211,76016,76106,82804,82883,87811,87804
